k,clean_environ,health,counselling,school,media,clean_air
0.0001432761 ,0.123770284,0.101266596,0.106892518,0.230662802,0.101266596,0.118144362
0.0000604050 ,0.049034885,0.066341316,0.074994531,0.213445972,0.086532151,0.144220251
-0.0000130782 ,0.185789494,0.020643277,0.057801176,0.107345041,0.119731007,0.169274872
0.0000588449 ,0.23325644,0.105520771,0.038876073,0.277686238,0.055537248,0.183272917
0.0000301468 ,0.316433712,0.103449483,0.079108428,0.048682109,0.018255791,0.225154756
0.0000428453 ,0.113407084,0.058803673,0.029401837,0.268816793,0.063003936,0.302418892
0.0000107347 ,0.25550326,0.122115529,0.092995672,0.118358128,0.131509031,0.060118414
0.0000992725 ,0.115230957,0.093625152,0.057615478,0.151240631,0.129634826,0.108029022
0.0000283703 ,0.131814654,0.06243852,0.06243852,0.194253174,0.069376134,0.166502721
0.0000228094 ,0.245780152,0.039758554,0.039758554,0.09036035,0.112046834,0.19879277
0.0000493939 ,0.168494708,0.095480334,0.033698942,0.21904312,0.039315432,0.174111198
0.0000414673 ,0.215446402,0.077560705,0.034471424,0.034471424,0.112032129,0.301624962
-0.0000027470 ,0.290164186,0.035530308,0.043425933,0.232920911,0.094747489,0.189494979
-0.0000128280 ,0.262552441,0.080224357,0.058344987,0.175034961,0.142215906,0.153155591
0.0000224204 ,0.261522557,0.058549826,0.081969757,0.148326226,0.121002974,0.226392661
0.0000200655 ,0.233616506,0.084743242,0.038936084,0.178647916,0.144292548,0.167196127
0.0000327995 ,0.248053515,0.068214717,0.105422744,0.195342143,0.182939467,0.099221406
0.0000465535 ,0.297871416,0.117988028,0.02707922,0.059961129,0.081237659,0.090908809
0.0001084099 ,0.168604632,0.031613369,0.079033421,0.242369159,0.089571211,0.131722369
0.0000717927 ,0.139316107,0.086472067,0.03843203,0.163336126,0.067256052,0.22098417
0.0000417559 ,0.016113965,0.135357303,0.049953291,0.344838844,0.101517978,0.240098074
0.0000243851 ,0.097204337,0.074060448,0.06943167,0.305499346,0.055545336,0.231438899
-0.0000283325 ,0.132250995,0.113882801,0.099188246,0.099188246,0.08816733,0.128577356
0.0000361640 ,0.176967298,0.062459046,0.072868888,0.148340235,0.135327934,0.182172219
0.0000558580 ,0.056704656,0.065658022,0.035813467,0.223834167,0.164145056,0.292476645
0.0000080636 ,0.938657327,0.625771552,0.104295259,2.085905172,0.208590517,1.251543103
0.0000049757 ,0.256082289,0.017660848,0.060046882,0.035321695,0.111263339,0.245485781
-0.0000887283 ,0.292458991,0.046668988,0.049780254,0.158674559,0.146229495,0.05289152
0.0000520588 ,0.075634938,0.078436233,0.081237527,0.218500933,0.058827174,0.131660819
0.0000172883 ,0.123459473,0.10416893,0.059800682,0.156253395,0.055942573,0.156253395
-0.0000177158 ,0.308127854,0.028011623,0.028011623,0.112046492,0.093372077,0.168069739
0.0000465203 ,0.188756735,0.027527024,0.062918912,0.094378367,0.051121616,0.31852699
-0.0000133982 ,0.140627749,0.047712986,0.076591899,0.168251057,0.097937183,0.19712997
0.0000385523 ,0.10643813,0.108913435,0.061882634,0.220302176,0.126240573,0.094061603
-0.0000011984 ,0.217249848,0.045395491,0.061608166,0.126458867,0.02594028,0.171854357
0.0000067944 ,0.129530678,0.040199176,0.08263164,0.171963142,0.111664378,0.156330129
0.0000447099 ,0.202152575,0.071530911,0.046650594,0.16172206,0.164832099,0.16172206
0.0000344935 ,0.121368171,0.04294566,0.052281674,0.242736342,0.10643055,0.201657884
0.0000287503 ,0.249803567,0.076862636,0.064052197,0.172940931,0.083267856,0.153725272
-0.0000077056 ,0.11092215,0.014220788,0.105233834,0.224688457,0.056883154,0.253130034
0.0000248842 ,0.141298928,0.096584078,0.050080633,0.196745343,0.150241899,0.168127839
0.0000514364 ,0.233762214,0.058440553,0.055002874,0.195947738,0.096255029,0.216573816
0.0000252447 ,0.184012537,0.032031812,0.066108208,0.193553928,0.051114594,0.202413791
0.0000837017 ,0.083775009,0.093630893,0.044351475,0.103486776,0.133054426,0.187261785
0.0000264213 ,0.146587949,0.03152429,0.067777224,0.219093816,0.181264668,0.077234511
-0.0000170998 ,0.252903139,0.024086013,0.044157691,0.164587757,0.040143355,0.192688106
0.0000912911 ,0.216843249,0.096374777,0.057824866,0.207205771,0.106012255,0.130105949
-0.0000093737 ,0.159145438,0.055700903,0.079572719,0.16710271,0.079572719,0.246675429
0.0000227576 ,0.161447974,0.080723987,0.02483815,0.223543348,0.086933524,0.173867048
0.0000124070 ,0.18338244,0.088429477,0.064510028,0.192805253,0.147140851,0.135543543
-0.0000117473 ,0.127333322,0.057080455,0.065862063,0.153678147,0.228321819,0.162459756
0.0000434868 ,0.154597607,0.017177512,0.124536961,0.266251434,0.073004425,0.184658253
0.0000005429 ,0.148090893,0.074045446,0.074045446,0.179824655,0.074045446,0.391383073
0.0000600229 ,0.151791053,0.127824045,0.031956011,0.287604101,0.063912023,0.179752563
0.0000457571 ,0.26891487,0.068546928,0.021091362,0.221459305,0.031637044,0.021091362
-0.0000118297 ,0.21935538,0.090952231,0.071335083,0.160503937,0.038342607,0.213113561
-0.0000719985 ,0.225557745,0.066558023,0.033279012,0.229255413,0.033279012,0.184883398
0.0000251022 ,0.261016823,0.033144993,0.037288118,0.165724967,0.091148732,0.19886996
0.0000456607 ,0.212452066,0.057941472,0.051503531,0.154510593,0.14163471,0.154510593
0.0006146994 ,0,0,0,0.855779155,0,0
0.0000697221 ,0.251020284,0.072516971,0.011156457,0.150612171,0.105986342,0.18965977
0.0001083740 ,0.264689314,0.063021265,0.037812759,0.12604253,0.119740404,0.207970175
0.0000068473 ,0.219658652,0.05540939,0.041557042,0.191953958,0.079815907,0.183378695
